Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
1,09-Jan-20,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0
2,13-Jan-20,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0
3,09-Jan-20,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0
4,02-Jan-20,wealthbucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000.0
5,02-Jan-20,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0
6,13-Jan-20,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0
7,10-Jan-20,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000.0
8,12-Dec-19,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0
9,06-Dec-19,CarDekho,E-commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0
10,03-Dec-19,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0
11,13-Dec-19,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0
12,17-Dec-19,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0
13,16-Dec-19,Licious,E-commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0
14,16-Dec-19,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000.0
15,14-Dec-19,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0
16,11-Dec-19,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0
17,20-Dec-19,Lenskart.com,E-commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0
18,13-Nov-19,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000.0
19,14-Nov-19,Misters,Health and Wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0
20,13-Nov-19,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0
21,17-Nov-19,Burger Singh,Food and Beverages,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0
22,18-Nov-19,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0
23,15-Nov-19,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0
24,20-Nov-19,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265.0
25,12-Nov-19,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0
26,20-Nov-19,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0
27,11-Nov-19,eBikeGo,Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0
28,19-Nov-19,Digital Mall Asia,E-commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0
29,18-Nov-19,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0
30,15-Nov-19,Vogo Automotive,Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0
31,19-Nov-19,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,200000000.0
32,25-Nov-19,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0
33,04-Oct-19,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0
34,02-Oct-19,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0
35,21-Oct-19,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,
36,05-Sep-19,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0
37,04-Sep-19,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0
38,04-Sep-19,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0
39,04-Sep-19,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0
40,04-Sep-19,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0
41,04-Sep-19,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0
42,04-Sep-19,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0
43,04-Sep-19,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0
44,03-Sep-19,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0
45,01-Aug-19,CarDekho,E-commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0
46,01-Aug-19,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0
47,01-Aug-19,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,,Seed Funding Round,1600000.0
48,01-Aug-19,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0
49,01-Aug-19,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0
50,12-Aug-19,Meesho,E-commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0
51,13-Aug-19,Cars24,E-commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000.0
52,13-Aug-19,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0
53,23-Aug-19,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0
54,23-Aug-19,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0
55,23-Aug-19,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0
56,22-Aug-19,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000.0
57,21-Aug-19,HungerBox,Food and Beverages,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0
58,23-Aug-19,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000000.0
59,19-Aug-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0
60,19-Aug-19,Grofers,E-commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000.0
61,27-Aug-19,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0
62,02-Jul-19,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0
63,02-Jul-19,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0
64,01-Jul-19,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000.0
65,03-Jul-19,Ola,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0
66,01-Jul-19,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0
67,04-Jul-19,Daalchini Technologies,Food and Beverages,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0
68,10-Jul-19,BYJUS,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0
69,11-Jul-19,Moglix,E-commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0
70,10-Jul-19,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0
71,10-Jul-19,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0
72,10-Jul-19,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0
73,09-Jul-19,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0
74,08-Jul-19,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0
75,05-Jun-19,NoBroker,E-commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0
76,04-Jun-19,Bira91,Food and Beverages,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0
77,03-Jun-19,FabHotels,E-commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,488997554.0
78,03-Jun-19,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0
79,04-Jun-19,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000.0
80,04-Jun-19,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0
81,03-Jun-19,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0
82,06-Jun-19,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,273903468.0
83,06-Jun-19,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000.0
84,06-Jun-19,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,1510950000.0
85,10-Jun-19,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0
86,10-Jun-19,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0
87,06-Jun-19,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0
88,08-Jun-19,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0
89,04-Jun-19,Leegality,Services,Digital Documentation,Mumbai,Mumbai Angels,Series A,3400000.0
90,06-May-19,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0
91,06-May-19,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0
92,05-May-19,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0
93,01-May-19,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0
94,02-May-19,Zenoti,SaaS,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0
95,28-May-19,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0
96,28-May-19,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0
97,30-May-19,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0
98,31-May-19,Bira91,Food and Beverages,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000.0
99,16-Apr-19,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0
100,12-Apr-19,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0
101,10-Apr-19,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0
102,13-Apr-19,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375.0
103,12-Apr-19,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.0
104,11-Apr-19,Setu,FinTech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0
105,10-Apr-19,Toppr,EdTech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0
106,10-Apr-19,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0
107,10-Apr-19,Unacademy,EdTech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0
108,11-Apr-19,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0
109,19-Apr-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0
110,19-Apr-19,KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000.0
111,17-Apr-19,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0
112,17-Apr-19,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0
113,01-Feb-19,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0
114,08-Feb-19,Zilingo,E-commerce,Fashion & Apparel,Patna,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0
115,13-Feb-19,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000.0
116,14-Feb-18,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100000000.0
117,03-Jan-19,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0
118,04-Jan-19,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,Jaipur,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0
119,04-Jan-19,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0
120,04-Dec-18,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000.0
121,01-Dec-18,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0
122,02-Dec-18,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0
123,02-Dec-18,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000.0
124,04-Dec-18,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0
125,06-Dec-18,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0
126,06-Dec-18,BuildSupply,SaaS,"Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0
127,01-Nov-18,GoDesi,Food and Beverages,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.0
128,03-Nov-18,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0
129,06-Nov-18,Meesho,E-commerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0
130,08-Nov-18,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000.0
131,08-Nov-18,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000.0
132,12-Nov-18,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0
133,12-Nov-18,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000.0
134,13-Nov-18,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0
135,14-Nov-18,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.0
136,19-Nov-18,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,300000000.0
137,20-Nov-18,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0
138,21-Nov-18,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,278000.0
139,22-Nov-18,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0
140,22-Nov-18,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,0.0
141,23-Nov-18,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0
142,24-Nov-18,Engineer.ai,Software,AI Platform,Jaipur,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0
143,25-Nov-18,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0
144,25-Nov-18,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000.0
145,01-Oct-18,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,
146,02-Oct-18,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0
147,04-Oct-18,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0
148,05-Oct-18,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000.0
149,11-Oct-18,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000.0
150,12-Oct-18,Blackbuck,Logistics,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0
151,12-Oct-18,LetsTransport,Logistics,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0
152,01-Sep-18,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0
153,03-Sep-18,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0
154,03-Sep-18,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0
155,04-Sep-18,3HCare,Healthcare,Healthcare Service Provider,Delhi,,Seed / Angel Funding,1000000.0
156,04-Sep-18,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,
157,05-Sep-18,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0
158,05-Sep-18,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,
159,06-Sep-18,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0
160,10-Sep-18,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0
161,11-Sep-18,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0
162,11-Sep-18,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0
163,11-Sep-18,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0
164,12-Sep-18,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0
165,01-Aug-18,dishq,Food Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.0
166,01-Aug-18,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,
167,02-Aug-18,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0
168,03-Aug-18,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0
169,07-Aug-18,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,,Seed/ Angel Funding,1000000.0
170,07-Aug-18,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0
171,07-Aug-18,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000.0
172,08-Aug-18,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0
173,08-Aug-18,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0
174,08-Aug-18,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0
175,09-Aug-18,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.0
176,09-Aug-18,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0
177,13-Aug-18,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000.0
178,13-Aug-18,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0
179,16-Aug-18,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,,Seed/ Angel Funding,114811.0
180,17-Aug-18,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000.0
181,20-Aug-18,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,,Seed / Angel Funding,1000000.0
182,20-Aug-18,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000.0
183,22-Aug-18,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0
184,22-Aug-18,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0
185,26-Aug-18,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0
186,26-Aug-18,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0
187,27-Aug-18,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0
188,28-Aug-18,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.0
189,30-Aug-18,True North,Finance,Private Equity Firm,Mumbai,,Private Equity,600000000.0
190,01-Jul-18,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed/ Angel Funding,
191,02-Jul-18,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000.0
192,04-Jul-18,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0
193,05-Jul-18,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000.0
194,06-Jul-18,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0
195,09-Jul-18,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000.0
196,09-Jul-18,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000.0
197,10-Jul-18,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000.0
198,10-Jul-18,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed/ Angel Funding,
199,10-Jul-18,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,5000000.0
200,10-Jul-18,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0
201,11-Jul-18,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0
